system:time_start,total_precipitation_sum
"Feb 1, 1950",0.084
"Mar 1, 1950",0.081
"Apr 1, 1950",0.104
"May 1, 1950",0.118
"Jan 1, 1951",0.074
"Feb 1, 1951",0.086
"Mar 1, 1951",0.117
"Apr 1, 1951",0.112
"May 1, 1951",0.089
"Jan 1, 1952",0.078
"Feb 1, 1952",0.05
"Mar 1, 1952",0.105
"Apr 1, 1952",0.083
"May 1, 1952",0.093
"Jan 1, 1953",0.065
"Feb 1, 1953",0.053
"Mar 1, 1953",0.096
"Apr 1, 1953",0.113
"May 1, 1953",0.111
"Jan 1, 1954",0.058
"Feb 1, 1954",0.055
"Mar 1, 1954",0.071
"Apr 1, 1954",0.111
"May 1, 1954",0.094
"Jan 1, 1955",0.04
"Feb 1, 1955",0.078
"Mar 1, 1955",0.092
"Apr 1, 1955",0.096
"May 1, 1955",0.094
"Jan 1, 1956",0.04
"Feb 1, 1956",0.087
"Mar 1, 1956",0.074
"Apr 1, 1956",0.093
"May 1, 1956",0.114
"Jan 1, 1957",0.062
"Feb 1, 1957",0.062
"Mar 1, 1957",0.061
"Apr 1, 1957",0.12
"May 1, 1957",0.124
"Jan 1, 1958",0.046
"Feb 1, 1958",0.032
"Mar 1, 1958",0.054
"Apr 1, 1958",0.092
"May 1, 1958",0.081
"Jan 1, 1959",0.066
"Feb 1, 1959",0.064
"Mar 1, 1959",0.079
"Apr 1, 1959",0.082
"May 1, 1959",0.119
"Jan 1, 1960",0.064
"Feb 1, 1960",0.064
"Mar 1, 1960",0.06
"Apr 1, 1960",0.091
"May 1, 1960",0.123
"Jan 1, 1961",0.028
"Feb 1, 1961",0.078
"Mar 1, 1961",0.114
"Apr 1, 1961",0.105
"May 1, 1961",0.104
"Jan 1, 1962",0.067
"Feb 1, 1962",0.082
"Mar 1, 1962",0.075
"Apr 1, 1962",0.067
"May 1, 1962",0.1
"Jan 1, 1963",0.03
"Feb 1, 1963",0.03
"Mar 1, 1963",0.109
"Apr 1, 1963",0.076
"May 1, 1963",0.087
"Jan 1, 1964",0.051
"Feb 1, 1964",0.041
"Mar 1, 1964",0.11
"Apr 1, 1964",0.134
"May 1, 1964",0.076
"Jan 1, 1965",0.073
"Feb 1, 1965",0.064
"Mar 1, 1965",0.092
"Apr 1, 1965",0.105
"May 1, 1965",0.079
"Jan 1, 1966",0.055
"Feb 1, 1966",0.064
"Mar 1, 1966",0.062
"Apr 1, 1966",0.111
"May 1, 1966",0.073
"Jan 1, 1967",0.058
"Feb 1, 1967",0.045
"Mar 1, 1967",0.068
"Apr 1, 1967",0.101
"May 1, 1967",0.105
"Jan 1, 1968",0.048
"Feb 1, 1968",0.026
"Mar 1, 1968",0.071
"Apr 1, 1968",0.097
"May 1, 1968",0.121
"Jan 1, 1969",0.088
"Feb 1, 1969",0.041
"Mar 1, 1969",0.048
"Apr 1, 1969",0.098
"May 1, 1969",0.08
"Jan 1, 1970",0.031
"Feb 1, 1970",0.036
"Mar 1, 1970",0.073
"Apr 1, 1970",0.112
"May 1, 1970",0.101
"Jan 1, 1971",0.048
"Feb 1, 1971",0.085
"Mar 1, 1971",0.055
"Apr 1, 1971",0.044
"May 1, 1971",0.093
"Jan 1, 1972",0.053
"Feb 1, 1972",0.048
"Mar 1, 1972",0.076
"Apr 1, 1972",0.108
"May 1, 1972",0.091
"Jan 1, 1973",0.055
"Feb 1, 1973",0.048
"Mar 1, 1973",0.136
"Apr 1, 1973",0.121
"May 1, 1973",0.144
"Jan 1, 1974",0.076
"Feb 1, 1974",0.055
"Mar 1, 1974",0.083
"Apr 1, 1974",0.104
"May 1, 1974",0.134
"Jan 1, 1975",0.083
"Feb 1, 1975",0.068
"Mar 1, 1975",0.104
"Apr 1, 1975",0.095
"May 1, 1975",0.088
"Jan 1, 1976",0.057
"Feb 1, 1976",0.058
"Mar 1, 1976",0.104
"Apr 1, 1976",0.063
"May 1, 1976",0.085
"Jan 1, 1977",0.04
"Feb 1, 1977",0.045
"Mar 1, 1977",0.12
"Apr 1, 1977",0.087
"May 1, 1977",0.067
"Jan 1, 1978",0.07
"Feb 1, 1978",0.027
"Mar 1, 1978",0.066
"Apr 1, 1978",0.095
"May 1, 1978",0.112
"Jan 1, 1979",0.085
"Feb 1, 1979",0.059
"Mar 1, 1979",0.101
"Apr 1, 1979",0.106
"May 1, 1979",0.102
"Jan 1, 1980",0.054
"Feb 1, 1980",0.038
"Mar 1, 1980",0.099
"Apr 1, 1980",0.081
"May 1, 1980",0.082
"Jan 1, 1981",0.018
"Feb 1, 1981",0.076
"Mar 1, 1981",0.046
"Apr 1, 1981",0.115
"May 1, 1981",0.124
"Jan 1, 1982",0.096
"Feb 1, 1982",0.042
"Mar 1, 1982",0.095
"Apr 1, 1982",0.084
"May 1, 1982",0.127
"Jan 1, 1983",0.038
"Feb 1, 1983",0.043
"Mar 1, 1983",0.085
"Apr 1, 1983",0.128
"May 1, 1983",0.149
"Jan 1, 1984",0.032
"Feb 1, 1984",0.068
"Mar 1, 1984",0.091
"Apr 1, 1984",0.127
"May 1, 1984",0.126
"Jan 1, 1985",0.051
"Feb 1, 1985",0.077
"Mar 1, 1985",0.108
"Apr 1, 1985",0.076
"May 1, 1985",0.109
"Jan 1, 1986",0.027
"Feb 1, 1986",0.072
"Mar 1, 1986",0.066
"Apr 1, 1986",0.088
"May 1, 1986",0.111
"Jan 1, 1987",0.044
"Feb 1, 1987",0.044
"Mar 1, 1987",0.067
"Apr 1, 1987",0.068
"May 1, 1987",0.084
"Jan 1, 1988",0.052
"Feb 1, 1988",0.048
"Mar 1, 1988",0.077
"Apr 1, 1988",0.067
"May 1, 1988",0.059
"Jan 1, 1989",0.057
"Feb 1, 1989",0.066
"Mar 1, 1989",0.093
"Apr 1, 1989",0.071
"May 1, 1989",0.109
"Jan 1, 1990",0.061
"Feb 1, 1990",0.088
"Mar 1, 1990",0.092
"Apr 1, 1990",0.08
"May 1, 1990",0.152
"Jan 1, 1991",0.055
"Feb 1, 1991",0.048
"Mar 1, 1991",0.109
"Apr 1, 1991",0.128
"May 1, 1991",0.124
"Jan 1, 1992",0.044
"Feb 1, 1992",0.044
"Mar 1, 1992",0.083
"Apr 1, 1992",0.086
"May 1, 1992",0.069
"Jan 1, 1993",0.072
"Feb 1, 1993",0.05
"Mar 1, 1993",0.088
"Apr 1, 1993",0.114
"May 1, 1993",0.116
"Jan 1, 1994",0.072
"Feb 1, 1994",0.066
"Mar 1, 1994",0.078
"Apr 1, 1994",0.125
"May 1, 1994",0.064
"Jan 1, 1995",0.072
"Feb 1, 1995",0.037
"Mar 1, 1995",0.065
"Apr 1, 1995",0.11
"May 1, 1995",0.149
"Jan 1, 1996",0.088
"Feb 1, 1996",0.04
"Mar 1, 1996",0.077
"Apr 1, 1996",0.106
"May 1, 1996",0.148
"Jan 1, 1997",0.071
"Feb 1, 1997",0.071
"Mar 1, 1997",0.098
"Apr 1, 1997",0.081
"May 1, 1997",0.121
"Jan 1, 1998",0.079
"Feb 1, 1998",0.074
"Mar 1, 1998",0.11
"Apr 1, 1998",0.111
"May 1, 1998",0.109
"Jan 1, 1999",0.105
"Feb 1, 1999",0.054
"Mar 1, 1999",0.057
"Apr 1, 1999",0.122
"May 1, 1999",0.106
"Jan 1, 2000",0.047
"Feb 1, 2000",0.061
"Mar 1, 2000",0.063
"Apr 1, 2000",0.083
"May 1, 2000",0.115
"Jan 1, 2001",0.047
"Feb 1, 2001",0.073
"Mar 1, 2001",0.049
"Apr 1, 2001",0.097
"May 1, 2001",0.132
