system:time_start,total_precipitation_sum
"Nov 1, 1950",0.082
"Dec 1, 1950",0.053
"Nov 1, 1951",0.084
"Dec 1, 1951",0.089
"Nov 1, 1952",0.076
"Dec 1, 1952",0.058
"Nov 1, 1953",0.04
"Dec 1, 1953",0.058
"Nov 1, 1954",0.042
"Dec 1, 1954",0.062
"Nov 1, 1955",0.058
"Dec 1, 1955",0.033
"Nov 1, 1956",0.063
"Dec 1, 1956",0.067
"Nov 1, 1957",0.103
"Dec 1, 1957",0.086
"Nov 1, 1958",0.081
"Dec 1, 1958",0.025
"Nov 1, 1959",0.074
"Dec 1, 1959",0.08
"Nov 1, 1960",0.056
"Dec 1, 1960",0.046
"Nov 1, 1961",0.078
"Dec 1, 1961",0.082
"Nov 1, 1962",0.043
"Dec 1, 1962",0.041
"Nov 1, 1963",0.063
"Dec 1, 1963",0.036
"Nov 1, 1964",0.062
"Dec 1, 1964",0.068
"Nov 1, 1965",0.05
"Dec 1, 1965",0.054
"Nov 1, 1966",0.074
"Dec 1, 1966",0.072
"Nov 1, 1967",0.059
"Dec 1, 1967",0.081
"Nov 1, 1968",0.081
"Dec 1, 1968",0.09
"Nov 1, 1969",0.053
"Dec 1, 1969",0.076
"Nov 1, 1970",0.068
"Dec 1, 1970",0.058
"Nov 1, 1971",0.06
"Dec 1, 1971",0.085
"Nov 1, 1972",0.09
"Dec 1, 1972",0.093
"Nov 1, 1973",0.088
"Dec 1, 1973",0.093
"Nov 1, 1974",0.079
"Dec 1, 1974",0.064
"Nov 1, 1975",0.09
"Dec 1, 1975",0.061
"Nov 1, 1976",0.022
"Dec 1, 1976",0.031
"Nov 1, 1977",0.092
"Dec 1, 1977",0.076
"Nov 1, 1978",0.079
"Dec 1, 1978",0.089
"Nov 1, 1979",0.09
"Dec 1, 1979",0.047
"Nov 1, 1980",0.047
"Dec 1, 1980",0.045
"Nov 1, 1981",0.056
"Dec 1, 1981",0.059
"Nov 1, 1982",0.101
"Dec 1, 1982",0.12
"Nov 1, 1983",0.12
"Dec 1, 1983",0.081
"Nov 1, 1984",0.086
"Dec 1, 1984",0.087
"Nov 1, 1985",0.138
"Dec 1, 1985",0.054
"Nov 1, 1986",0.078
"Dec 1, 1986",0.052
"Nov 1, 1987",0.091
"Dec 1, 1987",0.103
"Nov 1, 1988",0.121
"Dec 1, 1988",0.058
"Nov 1, 1989",0.053
"Dec 1, 1989",0.038
"Nov 1, 1990",0.065
"Dec 1, 1990",0.116
"Nov 1, 1991",0.104
"Dec 1, 1991",0.079
"Nov 1, 1992",0.126
"Dec 1, 1992",0.066
"Nov 1, 1993",0.08
"Dec 1, 1993",0.058
"Nov 1, 1994",0.091
"Dec 1, 1994",0.045
"Nov 1, 1995",0.073
"Dec 1, 1995",0.053
"Nov 1, 1996",0.099
"Dec 1, 1996",0.069
"Nov 1, 1997",0.058
"Dec 1, 1997",0.047
"Nov 1, 1998",0.061
"Dec 1, 1998",0.053
"Nov 1, 1999",0.036
"Dec 1, 1999",0.058
"Nov 1, 2000",0.078
"Dec 1, 2000",0.061
"Nov 1, 2001",0.071
"Dec 1, 2001",0.067
"Nov 1, 2002",0.044
"Dec 1, 2002",0.06
"Nov 1, 2003",0.097
"Dec 1, 2003",0.065
"Nov 1, 2004",0.097
"Dec 1, 2004",0.064
"Nov 1, 2005",0.081
"Dec 1, 2005",0.049
"Nov 1, 2006",0.067
"Dec 1, 2006",0.076
"Nov 1, 2007",0.044
"Dec 1, 2007",0.094
"Nov 1, 2008",0.054
"Dec 1, 2008",0.097
"Nov 1, 2009",0.041
"Dec 1, 2009",0.092
"Nov 1, 2010",0.078
"Dec 1, 2010",0.051
"Nov 1, 2011",0.104
"Dec 1, 2011",0.076
"Nov 1, 2012",0.031
"Dec 1, 2012",0.077
"Nov 1, 2013",0.061
"Dec 1, 2013",0.082
"Nov 1, 2014",0.06
"Dec 1, 2014",0.059
"Nov 1, 2015",0.114
"Dec 1, 2015",0.129
"Nov 1, 2016",0.057
"Dec 1, 2016",0.071
"Nov 1, 2017",0.057
"Dec 1, 2017",0.046
"Nov 1, 2018",0.088
"Dec 1, 2018",0.096
"Nov 1, 2019",0.069
"Dec 1, 2019",0.083
"Nov 1, 2020",0.065
"Dec 1, 2020",0.055
"Nov 1, 2021",0.04
"Dec 1, 2021",0.076
"Nov 1, 2022",0.068
"Dec 1, 2022",0.074
"Nov 1, 2023",0.031
"Dec 1, 2023",0.071
