year,1950-1980,1980-2010,2010-2023
"1,950",0.073,,
"1,951",0.083,,
"1,952",0.065,,
"1,953",0.054,,
"1,954",0.054,,
"1,955",0.052,,
"1,956",0.064,,
"1,957",0.078,,
"1,958",0.046,,
"1,959",0.071,,
"1,960",0.058,,
"1,961",0.066,,
"1,962",0.058,,
"1,963",0.04,,
"1,964",0.055,,
"1,965",0.06,,
"1,966",0.066,,
"1,967",0.061,,
"1,968",0.061,,
"1,969",0.064,,
"1,970",0.048,,
"1,971",0.07,,
"1,972",0.071,,
"1,973",0.071,,
"1,974",0.069,,
"1,975",0.076,,
"1,976",0.042,,
"1,977",0.063,,
"1,978",0.066,,
"1,979",0.07,,
"1,980",0.046,0.046,
"1,981",,0.052,
"1,982",,0.09,
"1,983",,0.07,
"1,984",,0.068,
"1,985",,0.08,
"1,986",,0.057,
"1,987",,0.07,
"1,988",,0.07,
"1,989",,0.054,
"1,990",,0.083,
"1,991",,0.071,
"1,992",,0.07,
"1,993",,0.065,
"1,994",,0.069,
"1,995",,0.059,
"1,996",,0.074,
"1,997",,0.062,
"1,998",,0.066,
"1,999",,0.063,
"2,000",,0.062,
"2,001",,0.064,
"2,002",,0.05,
"2,003",,0.065,
"2,004",,0.067,
"2,005",,0.071,
"2,006",,0.063,
"2,007",,0.063,
"2,008",,0.072,
"2,009",,0.059,
"2,010",,0.057,0.057
"2,011",,,0.074
"2,012",,,0.054
"2,013",,,0.072
"2,014",,,0.058
"2,015",,,0.083
"2,016",,,0.058
"2,017",,,0.057
"2,018",,,0.088
"2,019",,,0.085
"2,020",,,0.07
"2,021",,,0.058
"2,022",,,0.07
"2,023",,,0.064
